"scientificName" "occurrenceRemarks" "occurrenceStatus" "occurrenceStatus01"
"166" "Aria edulis (Willd.) M.Roem." "p1-2020" "absent" 0
"167" "Aria edulis (Willd.) M.Roem." "p2-2020" "present" 1
"168" "Aria edulis (Willd.) M.Roem." "p3-2020" "absent" 0
"169" "Aria edulis (Willd.) M.Roem." "p4-2020" "absent" 0
"170" "Aria edulis (Willd.) M.Roem." "p5-2020" "absent" 0
"171" "Aria edulis (Willd.) M.Roem." "p6-2020" "absent" 0
"172" "Aria edulis (Willd.) M.Roem." "p7-2020" "absent" 0
"173" "Aria edulis (Willd.) M.Roem." "p8-2020" "present" 1
"174" "Aria edulis (Willd.) M.Roem." "p9-2020" "absent" 0
"175" "Aria edulis (Willd.) M.Roem." "p10-2020" "absent" 0
"176" "Aria edulis (Willd.) M.Roem." "p11-2020" "absent" 0
"177" "Aria edulis (Willd.) M.Roem." "p12-2020" "absent" 0
"178" "Aria edulis (Willd.) M.Roem." "p13-2020" "absent" 0
"179" "Aria edulis (Willd.) M.Roem." "p14-2020" "absent" 0
"180" "Aria edulis (Willd.) M.Roem." "p15-2020" "absent" 0
"181" "Asplenium ruta-muraria L." "p1-2009" "absent" 0
"182" "Asplenium ruta-muraria L." "p2-2009" "absent" 0
"183" "Asplenium ruta-muraria L." "p3-2009" "absent" 0
"184" "Asplenium ruta-muraria L." "p4-2009" "absent" 0
"185" "Asplenium ruta-muraria L." "p5-2009" "absent" 0
"186" "Asplenium ruta-muraria L." "p6-2009" "absent" 0
"187" "Asplenium ruta-muraria L." "p7-2009" "present" 1
"188" "Asplenium ruta-muraria L." "p8-2009" "present" 1
"189" "Asplenium ruta-muraria L." "p9-2009" "present" 1
"190" "Asplenium ruta-muraria L." "p10-2009" "present" 1
"191" "Asplenium ruta-muraria L." "p11-2009" "absent" 0
"192" "Asplenium ruta-muraria L." "p12-2009" "absent" 0
"193" "Asplenium ruta-muraria L." "p13-2009" "present" 1
"194" "Asplenium ruta-muraria L." "p14-2009" "absent" 0
"195" "Asplenium ruta-muraria L." "p15-2009" "present" 1
"196" "Asplenium ruta-muraria L." "p1-2019" "absent" 0
"197" "Asplenium ruta-muraria L." "p2-2019" "absent" 0
"198" "Asplenium ruta-muraria L." "p3-2019" "absent" 0
"199" "Asplenium ruta-muraria L." "p4-2019" "absent" 0
"200" "Asplenium ruta-muraria L." "p5-2019" "absent" 0
"201" "Asplenium ruta-muraria L." "p6-2019" "absent" 0
"202" "Asplenium ruta-muraria L." "p7-2019" "present" 1
"203" "Asplenium ruta-muraria L." "p8-2019" "absent" 0
"204" "Asplenium ruta-muraria L." "p9-2019" "absent" 0
"205" "Asplenium ruta-muraria L." "p10-2019" "absent" 0
"206" "Asplenium ruta-muraria L." "p11-2019" "absent" 0
"207" "Asplenium ruta-muraria L." "p12-2019" "absent" 0
"208" "Asplenium ruta-muraria L." "p13-2019" "present" 1
"209" "Asplenium ruta-muraria L." "p14-2019" "absent" 0
"210" "Asplenium ruta-muraria L." "p15-2019" "present" 1
"211" "Asplenium ruta-muraria L." "p1-2020" "absent" 0
"212" "Asplenium ruta-muraria L." "p2-2020" "absent" 0
"213" "Asplenium ruta-muraria L." "p3-2020" "absent" 0
"214" "Asplenium ruta-muraria L." "p4-2020" "present" 1
"215" "Asplenium ruta-muraria L." "p5-2020" "absent" 0
"216" "Asplenium ruta-muraria L." "p6-2020" "absent" 0
"217" "Asplenium ruta-muraria L." "p7-2020" "present" 1
"218" "Asplenium ruta-muraria L." "p8-2020" "absent" 0
"219" "Asplenium ruta-muraria L." "p9-2020" "absent" 0
"220" "Asplenium ruta-muraria L." "p10-2020" "present" 1
"221" "Asplenium ruta-muraria L." "p11-2020" "absent" 0
"222" "Asplenium ruta-muraria L." "p12-2020" "absent" 0
"223" "Asplenium ruta-muraria L." "p13-2020" "present" 1
"224" "Asplenium ruta-muraria L." "p14-2020" "absent" 0
"225" "Asplenium ruta-muraria L." "p15-2020" "present" 1
"226" "Avenula pratensis (L.) Dumort." "p1-2009" "absent" 0
"227" "Avenula pratensis (L.) Dumort." "p2-2009" "present" 1
"228" "Avenula pratensis (L.) Dumort." "p3-2009" "present" 1
"229" "Avenula pratensis (L.) Dumort." "p4-2009" "present" 1
"230" "Avenula pratensis (L.) Dumort." "p5-2009" "present" 1
"231" "Avenula pratensis (L.) Dumort." "p6-2009" "present" 1
"232" "Avenula pratensis (L.) Dumort." "p7-2009" "present" 1
"233" "Avenula pratensis (L.) Dumort." "p8-2009" "present" 1
"234" "Avenula pratensis (L.) Dumort." "p9-2009" "present" 1
"235" "Avenula pratensis (L.) Dumort." "p10-2009" "present" 1
"236" "Avenula pratensis (L.) Dumort." "p11-2009" "present" 1
"237" "Avenula pratensis (L.) Dumort." "p12-2009" "present" 1
"238" "Avenula pratensis (L.) Dumort." "p13-2009" "present" 1
"239" "Avenula pratensis (L.) Dumort." "p14-2009" "present" 1
"240" "Avenula pratensis (L.) Dumort." "p15-2009" "present" 1
"241" "Avenula pratensis (L.) Dumort." "p1-2019" "present" 1
"242" "Avenula pratensis (L.) Dumort." "p2-2019" "present" 1
"243" "Avenula pratensis (L.) Dumort." "p3-2019" "present" 1
"244" "Avenula pratensis (L.) Dumort." "p4-2019" "present" 1
"245" "Avenula pratensis (L.) Dumort." "p5-2019" "absent" 0
"246" "Avenula pratensis (L.) Dumort." "p6-2019" "present" 1
"247" "Avenula pratensis (L.) Dumort." "p7-2019" "present" 1
"248" "Avenula pratensis (L.) Dumort." "p8-2019" "present" 1
"249" "Avenula pratensis (L.) Dumort." "p9-2019" "absent" 0
"250" "Avenula pratensis (L.) Dumort." "p10-2019" "present" 1
"251" "Avenula pratensis (L.) Dumort." "p11-2019" "present" 1
"252" "Avenula pratensis (L.) Dumort." "p12-2019" "present" 1
"253" "Avenula pratensis (L.) Dumort." "p13-2019" "present" 1
"254" "Avenula pratensis (L.) Dumort." "p14-2019" "present" 1
"255" "Avenula pratensis (L.) Dumort." "p15-2019" "present" 1
"256" "Avenula pratensis (L.) Dumort." "p1-2020" "present" 1
"257" "Avenula pratensis (L.) Dumort." "p2-2020" "present" 1
"258" "Avenula pratensis (L.) Dumort." "p3-2020" "present" 1
"259" "Avenula pratensis (L.) Dumort." "p4-2020" "present" 1
"260" "Avenula pratensis (L.) Dumort." "p5-2020" "present" 1
"261" "Avenula pratensis (L.) Dumort." "p6-2020" "present" 1
"262" "Avenula pratensis (L.) Dumort." "p7-2020" "present" 1
"263" "Avenula pratensis (L.) Dumort." "p8-2020" "present" 1
"264" "Avenula pratensis (L.) Dumort." "p9-2020" "present" 1
"265" "Avenula pratensis (L.) Dumort." "p10-2020" "present" 1
"266" "Avenula pratensis (L.) Dumort." "p11-2020" "present" 1
"267" "Avenula pratensis (L.) Dumort." "p12-2020" "present" 1
"268" "Avenula pratensis (L.) Dumort." "p13-2020" "present" 1
"269" "Avenula pratensis (L.) Dumort." "p14-2020" "present" 1
"270" "Avenula pratensis (L.) Dumort." "p15-2020" "present" 1
"271" "Carex caryophyllea Latourr." "p1-2009" "absent" 0
"272" "Carex caryophyllea Latourr." "p2-2009" "present" 1
"273" "Carex caryophyllea Latourr." "p3-2009" "absent" 0
"274" "Carex caryophyllea Latourr." "p4-2009" "present" 1
"275" "Carex caryophyllea Latourr." "p5-2009" "absent" 0
"276" "Carex caryophyllea Latourr." "p6-2009" "absent" 0
"277" "Carex caryophyllea Latourr." "p7-2009" "present" 1
"278" "Carex caryophyllea Latourr." "p8-2009" "present" 1
"279" "Carex caryophyllea Latourr." "p9-2009" "present" 1
"280" "Carex caryophyllea Latourr." "p10-2009" "present" 1
"281" "Carex caryophyllea Latourr." "p11-2009" "present" 1
"282" "Carex caryophyllea Latourr." "p12-2009" "present" 1
"283" "Carex caryophyllea Latourr." "p13-2009" "present" 1
"284" "Carex caryophyllea Latourr." "p14-2009" "absent" 0
"285" "Carex caryophyllea Latourr." "p15-2009" "absent" 0
"286" "Carex caryophyllea Latourr." "p1-2019" "absent" 0
"287" "Carex caryophyllea Latourr." "p2-2019" "present" 1
"288" "Carex caryophyllea Latourr." "p3-2019" "absent" 0
"289" "Carex caryophyllea Latourr." "p4-2019" "present" 1
"290" "Carex caryophyllea Latourr." "p5-2019" "absent" 0
"291" "Carex caryophyllea Latourr." "p6-2019" "absent" 0
"292" "Carex caryophyllea Latourr." "p7-2019" "present" 1
"293" "Carex caryophyllea Latourr." "p8-2019" "present" 1
"294" "Carex caryophyllea Latourr." "p9-2019" "present" 1
"295" "Carex caryophyllea Latourr." "p10-2019" "present" 1
"296" "Carex caryophyllea Latourr." "p11-2019" "present" 1
"297" "Carex caryophyllea Latourr." "p12-2019" "present" 1
"298" "Carex caryophyllea Latourr." "p13-2019" "absent" 0
"299" "Carex caryophyllea Latourr." "p14-2019" "absent" 0
"300" "Carex caryophyllea Latourr." "p15-2019" "absent" 0
"301" "Carex caryophyllea Latourr." "p1-2020" "present" 1
"302" "Carex caryophyllea Latourr." "p2-2020" "present" 1
"303" "Carex caryophyllea Latourr." "p3-2020" "absent" 0
"304" "Carex caryophyllea Latourr." "p4-2020" "present" 1
"305" "Carex caryophyllea Latourr." "p5-2020" "present" 1
"306" "Carex caryophyllea Latourr." "p6-2020" "present" 1
"307" "Carex caryophyllea Latourr." "p7-2020" "present" 1
"308" "Carex caryophyllea Latourr." "p8-2020" "present" 1
"309" "Carex caryophyllea Latourr." "p9-2020" "absent" 0
"310" "Carex caryophyllea Latourr." "p10-2020" "present" 1
"311" "Carex caryophyllea Latourr." "p11-2020" "present" 1
"312" "Carex caryophyllea Latourr." "p12-2020" "absent" 0
"313" "Carex caryophyllea Latourr." "p13-2020" "present" 1
"314" "Carex caryophyllea Latourr." "p14-2020" "absent" 0
"315" "Carex caryophyllea Latourr." "p15-2020" "absent" 0
"316" "Carlina vulgaris L." "p1-2009" "present" 1
"317" "Carlina vulgaris L." "p2-2009" "present" 1
"318" "Carlina vulgaris L." "p3-2009" "present" 1
"319" "Carlina vulgaris L." "p4-2009" "present" 1
"320" "Carlina vulgaris L." "p5-2009" "present" 1
"321" "Carlina vulgaris L." "p6-2009" "present" 1
"322" "Carlina vulgaris L." "p7-2009" "absent" 0
"323" "Carlina vulgaris L." "p8-2009" "present" 1
"324" "Carlina vulgaris L." "p9-2009" "present" 1
"325" "Carlina vulgaris L." "p10-2009" "present" 1
"326" "Carlina vulgaris L." "p11-2009" "absent" 0
"327" "Carlina vulgaris L." "p12-2009" "present" 1
"328" "Carlina vulgaris L." "p13-2009" "present" 1
"329" "Carlina vulgaris L." "p14-2009" "present" 1
"330" "Carlina vulgaris L." "p15-2009" "present" 1
"331" "Carlina vulgaris L." "p1-2019" "present" 1
"332" "Carlina vulgaris L." "p2-2019" "present" 1
"333" "Carlina vulgaris L." "p3-2019" "present" 1
"334" "Carlina vulgaris L." "p4-2019" "present" 1
"335" "Carlina vulgaris L." "p5-2019" "present" 1
